0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.theatlantic.com|photo|2017|01|photos-of-the-inauguration-of-president-donald-j-trump|513995|.html,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theguardian.com|us-news|donaldtrump.html,4,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usatoday.com|story|news|politics|onpolitics|2017|01|20|donald-trump-44th-45th-president-grover-cleveland|96832494|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usda.gov|media|press-releases|2018|07|26|what-they-are-saying-support-president-donald-j-trumps-plan-protect.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.va.gov|opa|pressrel|pressrelease.cfm|id|2895.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.vanityfair.com|news|2017|08|donald-trump-agenda-items-and-threat-matrix.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.voanews.com|a|back-from-paris-trump-assails-europe-on-defense-and-trade|4654826.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.vox.com|2018|11|17|18100208|donald-trump-arlington-veterans-day.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wapt.com|article|donald-trump-to-visit-mississippi-again-in-support-of-cindy-hyde-smith|25209396.html,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
https|||www.washingtonpost.com|news|book-party|wp|2017|04|13|the-case-for-impeaching-president-donald-j-trump-too-soon|.html,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.weforum.org|events|world-economic-forum-annual-meeting-2018|sessions|special-address-by-donald-j-trump-president-of-the-united-states-of-america.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.whitehouse.gov|get-involved|write-or-call|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.whitehouse.gov|people|donald-j-trump|.html,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.whitehousegiftshop.com|45th-President-of-the-United-States-Donald-J-Trump-Gifts-s|2419.htm.html,7,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.winonadailynews.com|news|local|donald-trump-is-coming-to-southeastern-minnesota|article_5165ecee-7c15-5555-9fa7-c50dbfbd96d1.html.html,7,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wired.com|2017|01|future-america-according-president-donald-j-trump|.html,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wjhl.com|news|president-donald-j-trump-to-visit-chattanooga_20181030030804|1561208771.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wkyt.com|content|news|Trump-says-report-on-Khashoggi-death-expected-in-a-few-days-500774912.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wrbl.com|news|local-news|president-donald-j-trump-approves-georgia-emergency-declaration|1516199594.html,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wymt.com|content|news|Store-sells-all-things-Preisdent-Donald-J-Trump--and-business-is-yuge-498096781.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.yahoo.com|entertainment|president-donald-trump-tweetstorm-sunday-174624084.html.html,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.youtube.com|DonaldTrump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||fortune.com|2018|02|19|donald-trump-oprah-winfrey-history|.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||time.com|5447972|donald-trump-midterm-elections-results-reaction|.html,12,7,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,
http|||time.com|5458339|trump-bin-laden-navy-seal-fox-news-interview|.html,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.bennett.edu|news|bennett-college-president-appointed-to-prestigious-hbcu-advisory-board-by-president-donald-j-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.cc.com|shows|the-daily-show-with-trevor-noah|trump-twitter-library.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.chicoer.com|president-trump-again-blames-forest-management-for-california-fires.html,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.dailynews.com|trump-uses-derisive-nickname-for-rep-adam-schiff-in-tweet.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.djournal.com|news|president-trump-to-hold-tupelo-rally|article_7956983e-26a6-5c71-af71-def730c3f12a.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.espn.com|nba|story|_|id|24280312|president-donald-trump-takes-shot-lebron-james-tweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.fox10phoenix.com|news|us-world-news|president-donald-j-trump-will-speak-in-orlando-this-monday.html,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.fox46charlotte.com|home|president-donald-j-trump-will-speak-in-orlando-this-monday.html,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.instagram.com|realdonaldtrump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.nytimes.com|topic|person|donald-trump.html,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.spaceref.com|news|viewsr.html|pid|51900.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.theintelligencer.net|news|top-headlines|2018|09|president-donald-trump-set-to-visit-wheeling-w-va-saturday|.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.twitter.com|realdonaldtrump.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
